name,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
Torre de Santa Caterina,425257.4452654195,4582991.541897886,41.394987347747104,2.1059277429633085
La Previsió Obrera,432398.6569830958,4587404.297382016,41.435363668960846,2.190849375486821
Refugi Antiaeri de la Sagrera,432478.7274650504,4586112.587984551,41.42373640875645,2.191951961584244
Carrer Campo Florido,431685.1802208093,4585858.53530135,41.42138115685976,2.182484957753459
Carrer Coroleu,432090.4920264786,4587142.858867394,41.43298298344629,2.187190543503709
Pastisseria Escribà *La Rambla,430825.62847346766,4581445.665166939,41.381562357710784,2.1727040810941585
Hotel Peninsular - HB-003154,430807.4576943178,4581230.824260125,41.37962578754925,2.1725113181323525
Mercat Clot,432185.5746711287,4584325.60634667,41.40761694241932,2.188644372365021
Mercat Poblenou - Unió,433581.77325563296,4583580.411891241,41.40102174848232,2.205429196399153
Club Natació Barcelona,432081.3394979735,4580291.406689088,41.37127323270199,2.187849724478972
Torre Castanyer,427637.32183688646,4584395.388723705,41.4078488716108,2.134224907245418
El passatge de Xile,426105.3054694607,4580973.681774878,41.37689172436965,2.116314819784081
Els Jardins d'Eusebi Güell,425961.0995401115,4582480.263040692,41.39044758234289,2.1144064064040826
Centre Educatiu Impulsem,430682.2409789435,4580904.983415029,41.376680258915165,2.1710512409002245
Ateneu Barcelonès,430742.0172149423,4581792.633763604,41.38468020491708,2.171664567764501
Jardins del Turó del Putxet,428330.3421091046,4584377.223048406,41.40774734930597,2.1425177258809422
Parc de Monterols,428094.2115477828,4583698.474617503,41.40161305479784,2.1397735122452017
Parròquia de Santa Madrona,430147.93623068166,4580634.475945723,41.3741976792283,2.164693483626283
Masia Ca l'Armera,431750.6714894789,4586329.434725152,41.42562795245565,2.183215458926026
Centre Cívic Vil·la Florida,427725.1780428968,4584118.764439972,41.40536533899808,2.135308972460361
Fundació Suñol,426955.9470611732,4581604.59980183,41.38265181042153,2.126410211337908
Cementiri Sant Andreu,431413.3564969582,4587641.013877718,41.437412139312414,2.1790301618213404
Gerència Urbanística Port Vell de l'Autoritat Portuària de Barcelona,431284.1980984574,4581037.432245046,41.37792481602983,2.1782341227997044
Casa Castellet,429713.0807854269,4583861.555367323,41.40322501663376,2.1591194797287576
Farmàcia Clapés Viñas,432266.8102970688,4587233.096023567,41.43381060796746,2.1892905825595
Casa Concepció i Casa Comelles,429302.6217716938,4583868.237216602,41.403249208074975,2.154208667587497
Casa Cortina,428629.3481470541,4584649.034461283,41.41022204823075,2.14606270494447
Casa Enric Cera,429569.0271509501,4584023.93475376,41.40467490062874,2.1573773724992016
Casa Girona i Cuyàs,429580.5591893716,4583304.89476915,41.39819978132556,2.1575989671703684
Casa Joan Matas,429695.2460473937,4583436.95050492,41.39939919545339,2.158955446305032
Fabra i Coats - Fàbrica de Creació,432395.6290474628,4587230.04407906,41.433793974354174,2.1908326284827284
Casa José de Ugarte,429154.2481039761,4584386.957127068,41.407908057431946,2.1523730608821405
Escola Business Engineering School - la Salle,427380.414306379,4584515.7714948105,41.40890993792351,2.1311370586996183
Museu del Perfum - Fundació Planas Giralt,430212.6062032511,4582555.729208647,41.39150740418814,2.1652454674735444
Associació d'Emprenedors del Clot - Eix Clot,431597.09541575,4585310.611427071,41.41643869811126,2.181492927401364
Unió de Botiguers del Cor d'Horta,430002.352,4586864.744,41.43029883469144,2.162232311962768
Cases Blanques,428214.6616704786,4587014.306319857,41.431488091656256,2.140820837872433
Refugi Antiaeri de Can Peguera,430265.6337080351,4587285.588105693,41.43411211194424,2.165334527114244
Can Tusquets,429309.31553899625,4584666.558433211,41.4104399702781,2.154195493067497
Casa Agustí Trulla,429198.4098426401,4583590.087907609,41.40073485164731,2.1529945860625257
Biblioteca Collserola - Josep Miracle,424998.27227854927,4585259.518723818,41.41538974314011,2.102546833751382
Casa Víctor Conill,429559.4884032936,4583261.031192623,41.397802872401726,2.157352034558083
Cases Leandre Vidal,429793.3390604241,4583599.244942326,41.40086949415278,2.160109975770286
Edifici Puiggròs,429721.0237908056,4583466.260224394,41.39966543105189,2.1592603871633957
Centre Cívic Vallvidrera Vázquez Montalbán,424998.14827972045,4585259.666722348,41.41539106451316,2.102545331836101
Escola Superior de Disseny i d'Art Llotja,427790.7844715373,4583811.318452293,41.40260219806344,2.136130474690944
Parc de Can Sabaté,427883.8954769356,4579565.986902864,41.36437449049291,2.137749555318519
Casa Faiol - Casa de la Papallona,428946.84485131415,4580916.982937578,41.37663697598416,2.150298953457356
Jardins del Palau Robert,429740.50298186,4583073.71379627,41.396131607667456,2.159538941393651
Palau de la Música Catalana,431038.40027322125,4582087.684944939,41.38736310291296,2.1751754135417323
Museu Palmero Arte,428154.19040612393,4586317.269099115,41.4252047837623,2.140179989039568
Edifici La Rotonda,427874.0744737985,4584691.238889567,41.41053474585558,2.1370219362887046
EINA - Escola de Disseny i Art,425969.1391583271,4583860.542578356,41.40287986302204,2.114333805752234
Casa dels Ossos,429190.9190573535,4582915.53648594,41.39465875789174,2.1529838685904554
Centre Municipal de Vela,433256.895689084,4582184.368446707,41.38842104043444,2.2016968649217765
Escola Lluís Vives,427083.9490766964,4580405.42153481,41.37186290045591,2.1280851779733574
Parc Carmel,429404.1785077464,4585190.4463453945,41.41516676215983,2.155269268607678
